sample_id,frame_id,scenario_id,view_id,traffic_light_id,n_inview,n_inview_veh,n_inview_ped,density_bin,gt_dist_mean_m,gt_dist_min_m,gt_speed_mean_mps,gt_speed_max_mps,frac_parked,frac_moving,camera_x,camera_y,regime,sample_index,trajectory_window_index,trajectory_group,partition,class_mix,vulnerable_present,nearest_range,reference_low_confidence_or_miss,small_object_present,edge_truncated_present
moving_ego_pps200000_low_8loops_stride2_000091_frame82226,82226,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,18.063,18.063,7.411,7.411,0.0,1.0,-70.2176742553711,24.50134658813477,moving_ego_pps200000_low_8loops_stride2,91,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,12_25m,absent,absent,absent
moving_ego_pps200000_low_8loops_stride2_000100_frame82244,82244,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,21.421,21.421,7.376,7.376,0.0,1.0,-70.2176742553711,24.50134658813477,moving_ego_pps200000_low_8loops_stride2,100,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,12_25m,absent,absent,absent
moving_ego_pps200000_low_8loops_stride2_000105_frame82254,82254,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,26.189,26.189,7.429,7.429,0.0,1.0,-70.2176742553711,24.50134658813477,moving_ego_pps200000_low_8loops_stride2,105,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,gt_25m,absent,absent,absent
moving_ego_pps200000_low_8loops_stride2_000107_frame82258,82258,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,28.424,28.424,7.429,7.429,0.0,1.0,-70.2176742553711,24.50134658813477,moving_ego_pps200000_low_8loops_stride2,107,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,gt_25m,absent,absent,absent
moving_ego_pps200000_low_8loops_stride2_000109_frame82262,82262,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,30.781,30.781,7.408,7.408,0.0,1.0,-70.2176742553711,24.50134658813477,moving_ego_pps200000_low_8loops_stride2,109,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,gt_25m,absent,absent,absent
moving_ego_pps200000_low_8loops_stride2_000111_frame82266,82266,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,33.227,33.227,7.392,7.392,0.0,1.0,-70.2176742553711,24.50134658813477,moving_ego_pps200000_low_8loops_stride2,111,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,gt_25m,absent,absent,present
moving_ego_pps200000_low_8loops_stride2_000116_frame82276,82276,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,39.635,39.635,7.384,7.384,0.0,1.0,-70.2176742553711,24.50134658813477,moving_ego_pps200000_low_8loops_stride2,116,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,gt_25m,present,absent,absent
moving_ego_pps200000_low_8loops_stride2_000143_frame82330,82330,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,37.355,37.355,0.0,0.0,1.0,0.0,-70.2176742553711,24.50134658813477,moving_ego_pps200000_low_8loops_stride2,143,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,pedestrian_only,present,gt_25m,absent,present,absent
moving_ego_pps200000_low_8loops_stride2_000148_frame82340,82340,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,37.355,37.355,0.0,0.0,1.0,0.0,-70.2176742553711,24.50134658813477,moving_ego_pps200000_low_8loops_stride2,148,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,pedestrian_only,present,gt_25m,absent,present,absent
moving_ego_pps200000_low_8loops_stride2_000155_frame82354,82354,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,37.355,37.355,0.0,0.0,1.0,0.0,-70.2176742553711,24.50134658813477,moving_ego_pps200000_low_8loops_stride2,155,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,pedestrian_only,present,gt_25m,absent,present,absent
moving_ego_pps200000_low_8loops_stride2_000156_frame82356,82356,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,37.355,37.355,0.0,0.0,1.0,0.0,-70.2176742553711,24.50134658813477,moving_ego_pps200000_low_8loops_stride2,156,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,pedestrian_only,present,gt_25m,absent,present,absent
moving_ego_pps200000_low_8loops_stride2_000165_frame82374,82374,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,37.355,37.355,0.0,0.0,1.0,0.0,-70.2176742553711,24.50134658813477,moving_ego_pps200000_low_8loops_stride2,165,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,pedestrian_only,present,gt_25m,absent,present,absent
moving_ego_pps200000_low_8loops_stride2_000166_frame82376,82376,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,37.355,37.355,0.0,0.0,1.0,0.0,-70.2176742553711,24.50134658813477,moving_ego_pps200000_low_8loops_stride2,166,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,pedestrian_only,present,gt_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000174_frame82392,82392,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,37.355,37.355,0.0,0.0,1.0,0.0,-70.2176742553711,24.50134658813477,moving_ego_pps200000_low_8loops_stride2,174,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,pedestrian_only,present,gt_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000178_frame82400,82400,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,37.355,37.355,0.0,0.0,1.0,0.0,-70.2176742553711,24.50134658813477,moving_ego_pps200000_low_8loops_stride2,178,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,pedestrian_only,present,gt_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000188_frame82420,82420,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,37.355,37.355,0.0,0.0,1.0,0.0,-70.2176742553711,24.50134658813477,moving_ego_pps200000_low_8loops_stride2,188,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,pedestrian_only,present,gt_25m,absent,present,absent
moving_ego_pps200000_low_8loops_stride2_000192_frame82428,82428,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,37.355,37.355,0.0,0.0,1.0,0.0,-70.2176742553711,24.50134658813477,moving_ego_pps200000_low_8loops_stride2,192,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,pedestrian_only,present,gt_25m,absent,present,absent
moving_ego_pps200000_low_8loops_stride2_000204_frame82452,82452,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,36.257,36.257,0.0,0.0,1.0,0.0,-70.2176742553711,24.50134658813477,moving_ego_pps200000_low_8loops_stride2,204,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,pedestrian_only,present,gt_25m,absent,present,absent
moving_ego_pps200000_low_8loops_stride2_000211_frame82466,82466,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,34.039,34.039,0.0,0.0,1.0,0.0,-69.11186981201172,24.50465965270996,moving_ego_pps200000_low_8loops_stride2,211,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,pedestrian_only,present,gt_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000217_frame82478,82478,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,29.392,29.392,0.0,0.0,1.0,0.0,-65.16795349121094,24.50767517089844,moving_ego_pps200000_low_8loops_stride2,217,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,pedestrian_only,present,gt_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000224_frame82492,82492,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,24.494,24.494,0.0,0.0,1.0,0.0,-60.60309982299805,23.910310745239254,moving_ego_pps200000_low_8loops_stride2,224,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,pedestrian_only,present,12_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000305_frame82654,82654,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,38.544,38.544,0.0,0.0,1.0,0.0,-45.321624755859375,-22.245441436767575,moving_ego_pps200000_low_8loops_stride2,305,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,pedestrian_only,present,gt_25m,present,absent,absent
moving_ego_pps200000_low_8loops_stride2_000312_frame82668,82668,moving_ego_training,autopilot_spawn80,,3,1,2,3-4,36.564,35.387,2.471,7.412,0.667,0.333,-45.35590744018555,-26.913972854614254,moving_ego_pps200000_low_8loops_stride2,312,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,mixed,present,gt_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000314_frame82672,82672,moving_ego_training,autopilot_spawn80,,3,1,2,3-4,35.328,33.608,2.469,7.408,0.667,0.333,-45.362892150878906,-28.244138717651367,moving_ego_pps200000_low_8loops_stride2,314,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,mixed,present,gt_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000315_frame82674,82674,moving_ego_training,autopilot_spawn80,,3,1,2,3-4,34.737,32.797,2.47,7.411,0.667,0.333,-45.36620330810547,-28.910919189453125,moving_ego_pps200000_low_8loops_stride2,315,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,mixed,present,gt_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000319_frame82682,82682,moving_ego_training,autopilot_spawn80,,3,1,2,3-4,33.46,30.1,0.984,2.952,0.667,0.333,-45.37243270874024,-31.57502174377441,moving_ego_pps200000_low_8loops_stride2,319,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,mixed,present,gt_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000332_frame82708,82708,moving_ego_training,autopilot_spawn80,,4,2,2,3-4,27.993,21.805,0.483,1.932,0.75,0.25,-45.315128326416016,-40.11358642578125,moving_ego_pps200000_low_8loops_stride2,332,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,mixed,present,12_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000343_frame82730,82730,moving_ego_training,autopilot_spawn80,,4,2,2,3-4,28.149,22.585,0.978,3.912,0.75,0.25,-45.30679321289063,-40.459354400634766,moving_ego_pps200000_low_8loops_stride2,343,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,mixed,present,12_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000345_frame82734,82734,moving_ego_training,autopilot_spawn80,,4,2,2,3-4,28.369,23.272,1.264,5.057,0.75,0.25,-45.30679321289063,-40.459354400634766,moving_ego_pps200000_low_8loops_stride2,345,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,mixed,present,12_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000358_frame82760,82760,moving_ego_training,autopilot_spawn80,,4,2,2,3-4,31.38,25.706,1.852,7.407,0.75,0.25,-45.30679321289063,-40.459354400634766,moving_ego_pps200000_low_8loops_stride2,358,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,mixed,present,gt_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000374_frame82792,82792,moving_ego_training,autopilot_spawn80,,3,1,2,3-4,23.091,16.929,0.0,0.0,1.0,0.0,-45.22505187988281,-49.48054885864258,moving_ego_pps200000_low_8loops_stride2,374,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,mixed,present,12_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000380_frame82804,82804,moving_ego_training,autopilot_spawn80,,3,1,2,3-4,28.921,21.524,0.0,0.0,1.0,0.0,-45.81158447265625,-53.40359115600586,moving_ego_pps200000_low_8loops_stride2,380,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,mixed,present,12_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000382_frame82808,82808,moving_ego_training,autopilot_spawn80,,2,0,2,1-2,29.208,21.185,0.0,0.0,1.0,0.0,-46.264347076416016,-54.66302490234375,moving_ego_pps200000_low_8loops_stride2,382,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,pedestrian_only,present,12_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000385_frame82814,82814,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,35.844,35.844,0.0,0.0,1.0,0.0,-47.1455192565918,-56.458595275878906,moving_ego_pps200000_low_8loops_stride2,385,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,pedestrian_only,present,gt_25m,present,absent,absent
moving_ego_pps200000_low_8loops_stride2_000386_frame82816,82816,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,35.381,35.381,0.0,0.0,1.0,0.0,-47.45856857299805,-57.04962539672852,moving_ego_pps200000_low_8loops_stride2,386,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,pedestrian_only,present,gt_25m,absent,present,absent
moving_ego_pps200000_low_8loops_stride2_000393_frame82830,82830,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,31.894,31.894,0.0,0.0,1.0,0.0,-50.39938354492188,-60.691043853759766,moving_ego_pps200000_low_8loops_stride2,393,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,pedestrian_only,present,gt_25m,absent,present,absent
moving_ego_pps200000_low_8loops_stride2_000401_frame82846,82846,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,27.7,27.7,0.0,0.0,1.0,0.0,-54.84605407714844,-63.64501190185547,moving_ego_pps200000_low_8loops_stride2,401,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,pedestrian_only,present,gt_25m,present,absent,absent
moving_ego_pps200000_low_8loops_stride2_000415_frame82874,82874,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,20.864,20.864,0.0,0.0,1.0,0.0,-63.96135711669922,-65.2762680053711,moving_ego_pps200000_low_8loops_stride2,415,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,pedestrian_only,present,12_25m,present,absent,absent
moving_ego_pps200000_low_8loops_stride2_000419_frame82882,82882,moving_ego_training,autopilot_spawn80,,2,1,1,1-2,28.274,18.33,0.0,0.0,1.0,0.0,-66.60882568359375,-65.36515045166016,moving_ego_pps200000_low_8loops_stride2,419,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,mixed,present,12_25m,absent,present,absent
moving_ego_pps200000_low_8loops_stride2_000420_frame82884,82884,moving_ego_training,autopilot_spawn80,,2,1,1,1-2,27.614,17.659,0.0,0.0,1.0,0.0,-67.27176666259766,-65.38477325439453,moving_ego_pps200000_low_8loops_stride2,420,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,mixed,present,12_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000428_frame82900,82900,moving_ego_training,autopilot_spawn80,,2,1,1,1-2,22.796,13.234,0.0,0.0,1.0,0.0,-72.56194305419922,-65.24119567871094,moving_ego_pps200000_low_8loops_stride2,428,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,mixed,present,12_25m,present,absent,absent
moving_ego_pps200000_low_8loops_stride2_000429_frame82902,82902,moving_ego_training,autopilot_spawn80,,2,1,1,1-2,22.248,12.793,0.0,0.0,1.0,0.0,-73.22248077392578,-65.19629669189453,moving_ego_pps200000_low_8loops_stride2,429,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,mixed,present,12_25m,present,absent,absent
moving_ego_pps200000_low_8loops_stride2_000439_frame82922,82922,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,25.111,25.111,0.0,0.0,1.0,0.0,-79.758544921875,-64.17318725585938,moving_ego_pps200000_low_8loops_stride2,439,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,gt_25m,present,absent,absent
moving_ego_pps200000_low_8loops_stride2_000441_frame82926,82926,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,23.794,23.794,0.0,0.0,1.0,0.0,-81.02872467041016,-63.80387878417969,moving_ego_pps200000_low_8loops_stride2,441,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,12_25m,absent,absent,absent
moving_ego_pps200000_low_8loops_stride2_000457_frame82958,82958,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,13.652,13.652,0.0,0.0,1.0,0.0,-90.64371490478516,-59.41647720336914,moving_ego_pps200000_low_8loops_stride2,457,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,12_25m,absent,absent,absent
moving_ego_pps200000_low_8loops_stride2_000464_frame82972,82972,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,10.107,10.107,0.0,0.0,1.0,0.0,-94.3665771484375,-56.66865158081055,moving_ego_pps200000_low_8loops_stride2,464,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,le_12m,absent,absent,present
moving_ego_pps200000_low_8loops_stride2_000523_frame83090,83090,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,6.738,6.738,6.28,6.28,0.0,1.0,-110.12356567382812,-22.02842903137207,moving_ego_pps200000_low_8loops_stride2,523,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,le_12m,absent,absent,absent
moving_ego_pps200000_low_8loops_stride2_000533_frame83110,83110,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,10.623,10.623,4.858,4.858,0.0,1.0,-110.3064422607422,-15.396973609924316,moving_ego_pps200000_low_8loops_stride2,533,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,le_12m,absent,absent,absent
moving_ego_pps200000_low_8loops_stride2_000536_frame83116,83116,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,11.361,11.361,4.495,4.495,0.0,1.0,-110.3353271484375,-13.397431373596191,moving_ego_pps200000_low_8loops_stride2,536,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,le_12m,absent,absent,absent
moving_ego_pps200000_low_8loops_stride2_000548_frame83140,83140,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,18.761,18.761,7.453,7.453,0.0,1.0,-110.35887145996094,-5.422982215881348,moving_ego_pps200000_low_8loops_stride2,548,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,12_25m,present,absent,absent
moving_ego_pps200000_low_8loops_stride2_000557_frame83158,83158,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,26.142,26.142,7.438,7.438,0.0,1.0,-110.35133361816406,0.5068106055259705,moving_ego_pps200000_low_8loops_stride2,557,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,gt_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000563_frame83170,83170,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,31.055,31.055,7.432,7.432,0.0,1.0,-110.34156799316406,4.479764461517334,moving_ego_pps200000_low_8loops_stride2,563,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,gt_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000573_frame83190,83190,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,39.293,39.293,7.45,7.45,0.0,1.0,-110.02703857421876,11.10958194732666,moving_ego_pps200000_low_8loops_stride2,573,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,gt_25m,absent,present,absent
moving_ego_pps200000_low_8loops_stride2_000642_frame83328,83328,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,32.196,32.196,0.0,0.0,1.0,0.0,-70.80870819091797,24.64351463317871,moving_ego_pps200000_low_8loops_stride2,642,1,moving_ego_pps200000_low_8loops_stride2::loop1,confirmation,pedestrian_only,present,gt_25m,absent,present,absent
moving_ego_pps200000_low_8loops_stride2_000647_frame83338,83338,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,30.795,30.795,0.0,0.0,1.0,0.0,-70.22227478027344,24.63853645324707,moving_ego_pps200000_low_8loops_stride2,647,1,moving_ego_pps200000_low_8loops_stride2::loop1,confirmation,pedestrian_only,present,gt_25m,absent,present,absent
moving_ego_pps200000_low_8loops_stride2_000661_frame83366,83366,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,28.418,28.418,0.0,0.0,1.0,0.0,-70.22227478027344,24.63853645324707,moving_ego_pps200000_low_8loops_stride2,661,1,moving_ego_pps200000_low_8loops_stride2::loop1,confirmation,pedestrian_only,present,gt_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000663_frame83370,83370,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,28.08,28.08,0.0,0.0,1.0,0.0,-70.22227478027344,24.63853645324707,moving_ego_pps200000_low_8loops_stride2,663,1,moving_ego_pps200000_low_8loops_stride2::loop1,confirmation,pedestrian_only,present,gt_25m,absent,present,absent
moving_ego_pps200000_low_8loops_stride2_000666_frame83376,83376,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,27.575,27.575,0.0,0.0,1.0,0.0,-70.22227478027344,24.63853645324707,moving_ego_pps200000_low_8loops_stride2,666,1,moving_ego_pps200000_low_8loops_stride2::loop1,confirmation,pedestrian_only,present,gt_25m,absent,present,absent
moving_ego_pps200000_low_8loops_stride2_000669_frame83382,83382,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,27.071,27.071,0.0,0.0,1.0,0.0,-70.22227478027344,24.63853645324707,moving_ego_pps200000_low_8loops_stride2,669,1,moving_ego_pps200000_low_8loops_stride2::loop1,confirmation,pedestrian_only,present,gt_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000679_frame83402,83402,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,25.401,25.401,0.0,0.0,1.0,0.0,-70.22227478027344,24.63853645324707,moving_ego_pps200000_low_8loops_stride2,679,1,moving_ego_pps200000_low_8loops_stride2::loop1,confirmation,pedestrian_only,present,gt_25m,absent,present,absent
moving_ego_pps200000_low_8loops_stride2_000688_frame83420,83420,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,23.915,23.915,0.0,0.0,1.0,0.0,-70.22227478027344,24.63853645324707,moving_ego_pps200000_low_8loops_stride2,688,1,moving_ego_pps200000_low_8loops_stride2::loop1,confirmation,pedestrian_only,present,12_25m,absent,present,absent
moving_ego_pps200000_low_8loops_stride2_000692_frame83428,83428,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,23.26,23.26,0.0,0.0,1.0,0.0,-70.22227478027344,24.63853645324707,moving_ego_pps200000_low_8loops_stride2,692,1,moving_ego_pps200000_low_8loops_stride2::loop1,confirmation,pedestrian_only,present,12_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000696_frame83436,83436,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,22.609,22.609,0.0,0.0,1.0,0.0,-70.22227478027344,24.63853645324707,moving_ego_pps200000_low_8loops_stride2,696,1,moving_ego_pps200000_low_8loops_stride2::loop1,confirmation,pedestrian_only,present,12_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000699_frame83442,83442,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,22.124,22.124,0.0,0.0,1.0,0.0,-70.22227478027344,24.63853645324707,moving_ego_pps200000_low_8loops_stride2,699,1,moving_ego_pps200000_low_8loops_stride2::loop1,confirmation,pedestrian_only,present,12_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000715_frame83474,83474,moving_ego_training,autopilot_spawn80,,1,0,1,1-2,19.584,19.584,0.0,0.0,1.0,0.0,-70.22227478027344,24.63853645324707,moving_ego_pps200000_low_8loops_stride2,715,1,moving_ego_pps200000_low_8loops_stride2::loop1,confirmation,pedestrian_only,present,12_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000771_frame83586,83586,moving_ego_training,autopilot_spawn80,,3,1,2,3-4,23.8,11.969,2.472,7.417,0.667,0.333,-70.22227478027344,24.63853645324707,moving_ego_pps200000_low_8loops_stride2,771,1,moving_ego_pps200000_low_8loops_stride2::loop1,confirmation,mixed,present,le_12m,present,present,absent
