sample_id,frame_id,source_prefix,collection_index,block,audit_split,density_bin
moving_ego_pps200000_crowded_8loops_stride2_000200_frame102594,102594,moving_ego_pps200000_crowded_8loops_stride2,200,8,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_000220_frame102634,102634,moving_ego_pps200000_crowded_8loops_stride2,220,8,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_000232_frame102658,102658,moving_ego_pps200000_crowded_8loops_stride2,232,9,audit_validation,1-2
moving_ego_pps200000_crowded_8loops_stride2_000245_frame102684,102684,moving_ego_pps200000_crowded_8loops_stride2,245,9,audit_validation,1-2
moving_ego_pps200000_crowded_8loops_stride2_000254_frame102702,102702,moving_ego_pps200000_crowded_8loops_stride2,254,10,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000255_frame102704,102704,moving_ego_pps200000_crowded_8loops_stride2,255,10,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000263_frame102720,102720,moving_ego_pps200000_crowded_8loops_stride2,263,10,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000273_frame102740,102740,moving_ego_pps200000_crowded_8loops_stride2,273,10,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000274_frame102742,102742,moving_ego_pps200000_crowded_8loops_stride2,274,10,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000278_frame102750,102750,moving_ego_pps200000_crowded_8loops_stride2,278,11,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000284_frame102762,102762,moving_ego_pps200000_crowded_8loops_stride2,284,11,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000290_frame102774,102774,moving_ego_pps200000_crowded_8loops_stride2,290,11,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000296_frame102786,102786,moving_ego_pps200000_crowded_8loops_stride2,296,11,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000298_frame102790,102790,moving_ego_pps200000_crowded_8loops_stride2,298,11,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000309_frame102812,102812,moving_ego_pps200000_crowded_8loops_stride2,309,12,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000316_frame102826,102826,moving_ego_pps200000_crowded_8loops_stride2,316,12,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000329_frame102852,102852,moving_ego_pps200000_crowded_8loops_stride2,329,13,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000349_frame102892,102892,moving_ego_pps200000_crowded_8loops_stride2,349,13,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000355_frame102904,102904,moving_ego_pps200000_crowded_8loops_stride2,355,14,audit_validation,5+
moving_ego_pps200000_crowded_8loops_stride2_000356_frame102906,102906,moving_ego_pps200000_crowded_8loops_stride2,356,14,audit_validation,5+
moving_ego_pps200000_crowded_8loops_stride2_000358_frame102910,102910,moving_ego_pps200000_crowded_8loops_stride2,358,14,audit_validation,5+
moving_ego_pps200000_crowded_8loops_stride2_000359_frame102912,102912,moving_ego_pps200000_crowded_8loops_stride2,359,14,audit_validation,5+
moving_ego_pps200000_crowded_8loops_stride2_000366_frame102926,102926,moving_ego_pps200000_crowded_8loops_stride2,366,14,audit_validation,5+
moving_ego_pps200000_crowded_8loops_stride2_000369_frame102932,102932,moving_ego_pps200000_crowded_8loops_stride2,369,14,audit_validation,5+
moving_ego_pps200000_crowded_8loops_stride2_000370_frame102934,102934,moving_ego_pps200000_crowded_8loops_stride2,370,14,audit_validation,5+
moving_ego_pps200000_crowded_8loops_stride2_000372_frame102938,102938,moving_ego_pps200000_crowded_8loops_stride2,372,14,audit_validation,5+
moving_ego_pps200000_crowded_8loops_stride2_000381_frame102956,102956,moving_ego_pps200000_crowded_8loops_stride2,381,15,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000383_frame102960,102960,moving_ego_pps200000_crowded_8loops_stride2,383,15,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000387_frame102968,102968,moving_ego_pps200000_crowded_8loops_stride2,387,15,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000388_frame102970,102970,moving_ego_pps200000_crowded_8loops_stride2,388,15,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000406_frame103006,103006,moving_ego_pps200000_crowded_8loops_stride2,406,16,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000421_frame103036,103036,moving_ego_pps200000_crowded_8loops_stride2,421,16,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000423_frame103040,103040,moving_ego_pps200000_crowded_8loops_stride2,423,16,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000426_frame103046,103046,moving_ego_pps200000_crowded_8loops_stride2,426,17,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000427_frame103048,103048,moving_ego_pps200000_crowded_8loops_stride2,427,17,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000436_frame103066,103066,moving_ego_pps200000_crowded_8loops_stride2,436,17,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000440_frame103074,103074,moving_ego_pps200000_crowded_8loops_stride2,440,17,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000444_frame103082,103082,moving_ego_pps200000_crowded_8loops_stride2,444,17,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000455_frame103104,103104,moving_ego_pps200000_crowded_8loops_stride2,455,18,audit_validation,1-2
moving_ego_pps200000_crowded_8loops_stride2_000457_frame103108,103108,moving_ego_pps200000_crowded_8loops_stride2,457,18,audit_validation,1-2
moving_ego_pps200000_crowded_8loops_stride2_000461_frame103116,103116,moving_ego_pps200000_crowded_8loops_stride2,461,18,audit_validation,1-2
moving_ego_pps200000_crowded_8loops_stride2_000465_frame103124,103124,moving_ego_pps200000_crowded_8loops_stride2,465,18,audit_validation,1-2
moving_ego_pps200000_crowded_8loops_stride2_000472_frame103138,103138,moving_ego_pps200000_crowded_8loops_stride2,472,18,audit_validation,1-2
moving_ego_pps200000_crowded_8loops_stride2_000484_frame103162,103162,moving_ego_pps200000_crowded_8loops_stride2,484,19,audit_validation,1-2
moving_ego_pps200000_crowded_8loops_stride2_000486_frame103166,103166,moving_ego_pps200000_crowded_8loops_stride2,486,19,audit_validation,1-2
moving_ego_pps200000_crowded_8loops_stride2_000496_frame103186,103186,moving_ego_pps200000_crowded_8loops_stride2,496,19,audit_validation,1-2
moving_ego_pps200000_crowded_8loops_stride2_000502_frame103198,103198,moving_ego_pps200000_crowded_8loops_stride2,502,20,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000522_frame103238,103238,moving_ego_pps200000_crowded_8loops_stride2,522,20,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000523_frame103240,103240,moving_ego_pps200000_crowded_8loops_stride2,523,20,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000547_frame103288,103288,moving_ego_pps200000_crowded_8loops_stride2,547,21,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_000548_frame103290,103290,moving_ego_pps200000_crowded_8loops_stride2,548,21,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_000552_frame103298,103298,moving_ego_pps200000_crowded_8loops_stride2,552,22,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000558_frame103310,103310,moving_ego_pps200000_crowded_8loops_stride2,558,22,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000579_frame103352,103352,moving_ego_pps200000_crowded_8loops_stride2,579,23,audit_validation,5+
moving_ego_pps200000_crowded_8loops_stride2_000594_frame103382,103382,moving_ego_pps200000_crowded_8loops_stride2,594,23,audit_validation,5+
moving_ego_pps200000_crowded_8loops_stride2_000598_frame103390,103390,moving_ego_pps200000_crowded_8loops_stride2,598,23,audit_validation,5+
moving_ego_pps200000_crowded_8loops_stride2_000600_frame103394,103394,moving_ego_pps200000_crowded_8loops_stride2,600,24,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000623_frame103440,103440,moving_ego_pps200000_crowded_8loops_stride2,623,24,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000633_frame103460,103460,moving_ego_pps200000_crowded_8loops_stride2,633,25,audit_validation,5+
moving_ego_pps200000_crowded_8loops_stride2_000635_frame103464,103464,moving_ego_pps200000_crowded_8loops_stride2,635,25,audit_validation,5+
moving_ego_pps200000_crowded_8loops_stride2_000640_frame103474,103474,moving_ego_pps200000_crowded_8loops_stride2,640,25,audit_validation,5+
moving_ego_pps200000_crowded_8loops_stride2_000643_frame103480,103480,moving_ego_pps200000_crowded_8loops_stride2,643,25,audit_validation,5+
moving_ego_pps200000_crowded_8loops_stride2_000650_frame103494,103494,moving_ego_pps200000_crowded_8loops_stride2,650,26,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000652_frame103498,103498,moving_ego_pps200000_crowded_8loops_stride2,652,26,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000670_frame103534,103534,moving_ego_pps200000_crowded_8loops_stride2,670,26,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000674_frame103542,103542,moving_ego_pps200000_crowded_8loops_stride2,674,26,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000708_frame103610,103610,moving_ego_pps200000_crowded_8loops_stride2,708,28,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000717_frame103628,103628,moving_ego_pps200000_crowded_8loops_stride2,717,28,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000720_frame103634,103634,moving_ego_pps200000_crowded_8loops_stride2,720,28,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000726_frame103646,103646,moving_ego_pps200000_crowded_8loops_stride2,726,29,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000736_frame103666,103666,moving_ego_pps200000_crowded_8loops_stride2,736,29,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000740_frame103674,103674,moving_ego_pps200000_crowded_8loops_stride2,740,29,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000745_frame103684,103684,moving_ego_pps200000_crowded_8loops_stride2,745,29,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000753_frame103700,103700,moving_ego_pps200000_crowded_8loops_stride2,753,30,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000762_frame103718,103718,moving_ego_pps200000_crowded_8loops_stride2,762,30,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000770_frame103734,103734,moving_ego_pps200000_crowded_8loops_stride2,770,30,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000771_frame103736,103736,moving_ego_pps200000_crowded_8loops_stride2,771,30,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000775_frame103744,103744,moving_ego_pps200000_crowded_8loops_stride2,775,31,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_000779_frame103752,103752,moving_ego_pps200000_crowded_8loops_stride2,779,31,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_000780_frame103754,103754,moving_ego_pps200000_crowded_8loops_stride2,780,31,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_000802_frame103798,103798,moving_ego_pps200000_crowded_8loops_stride2,802,32,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_000805_frame103804,103804,moving_ego_pps200000_crowded_8loops_stride2,805,32,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_000829_frame103852,103852,moving_ego_pps200000_crowded_8loops_stride2,829,33,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000831_frame103856,103856,moving_ego_pps200000_crowded_8loops_stride2,831,33,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000840_frame103874,103874,moving_ego_pps200000_crowded_8loops_stride2,840,33,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000846_frame103886,103886,moving_ego_pps200000_crowded_8loops_stride2,846,33,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000847_frame103888,103888,moving_ego_pps200000_crowded_8loops_stride2,847,33,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000854_frame103902,103902,moving_ego_pps200000_crowded_8loops_stride2,854,34,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_000871_frame103936,103936,moving_ego_pps200000_crowded_8loops_stride2,871,34,audit_validation,1-2
moving_ego_pps200000_crowded_8loops_stride2_000873_frame103940,103940,moving_ego_pps200000_crowded_8loops_stride2,873,34,audit_validation,1-2
moving_ego_pps200000_crowded_8loops_stride2_000882_frame103958,103958,moving_ego_pps200000_crowded_8loops_stride2,882,35,audit_test,0
moving_ego_pps200000_crowded_8loops_stride2_000900_frame103994,103994,moving_ego_pps200000_crowded_8loops_stride2,900,36,audit_test,0
moving_ego_pps200000_crowded_8loops_stride2_000906_frame104006,104006,moving_ego_pps200000_crowded_8loops_stride2,906,36,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000909_frame104012,104012,moving_ego_pps200000_crowded_8loops_stride2,909,36,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000914_frame104022,104022,moving_ego_pps200000_crowded_8loops_stride2,914,36,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000919_frame104032,104032,moving_ego_pps200000_crowded_8loops_stride2,919,36,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000926_frame104046,104046,moving_ego_pps200000_crowded_8loops_stride2,926,37,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000927_frame104048,104048,moving_ego_pps200000_crowded_8loops_stride2,927,37,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000931_frame104056,104056,moving_ego_pps200000_crowded_8loops_stride2,931,37,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000936_frame104066,104066,moving_ego_pps200000_crowded_8loops_stride2,936,37,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000937_frame104068,104068,moving_ego_pps200000_crowded_8loops_stride2,937,37,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000957_frame104108,104108,moving_ego_pps200000_crowded_8loops_stride2,957,38,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000968_frame104130,104130,moving_ego_pps200000_crowded_8loops_stride2,968,38,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000977_frame104148,104148,moving_ego_pps200000_crowded_8loops_stride2,977,39,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000979_frame104152,104152,moving_ego_pps200000_crowded_8loops_stride2,979,39,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000994_frame104182,104182,moving_ego_pps200000_crowded_8loops_stride2,994,39,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000997_frame104188,104188,moving_ego_pps200000_crowded_8loops_stride2,997,39,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_001000_frame104194,104194,moving_ego_pps200000_crowded_8loops_stride2,1000,40,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_001006_frame104206,104206,moving_ego_pps200000_crowded_8loops_stride2,1006,40,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_001008_frame104210,104210,moving_ego_pps200000_crowded_8loops_stride2,1008,40,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_001016_frame104226,104226,moving_ego_pps200000_crowded_8loops_stride2,1016,40,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_001019_frame104232,104232,moving_ego_pps200000_crowded_8loops_stride2,1019,40,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_001025_frame104244,104244,moving_ego_pps200000_crowded_8loops_stride2,1025,41,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_001031_frame104256,104256,moving_ego_pps200000_crowded_8loops_stride2,1031,41,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_001036_frame104266,104266,moving_ego_pps200000_crowded_8loops_stride2,1036,41,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_001040_frame104274,104274,moving_ego_pps200000_crowded_8loops_stride2,1040,41,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_001052_frame104298,104298,moving_ego_pps200000_crowded_8loops_stride2,1052,42,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_001057_frame104308,104308,moving_ego_pps200000_crowded_8loops_stride2,1057,42,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_001067_frame104328,104328,moving_ego_pps200000_crowded_8loops_stride2,1067,42,audit_test,0
moving_ego_pps200000_crowded_8loops_stride2_001071_frame104336,104336,moving_ego_pps200000_crowded_8loops_stride2,1071,42,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_001080_frame104354,104354,moving_ego_pps200000_crowded_8loops_stride2,1080,43,audit_validation,1-2
moving_ego_pps200000_crowded_8loops_stride2_001088_frame104370,104370,moving_ego_pps200000_crowded_8loops_stride2,1088,43,audit_validation,1-2
moving_ego_pps200000_crowded_8loops_stride2_001089_frame104372,104372,moving_ego_pps200000_crowded_8loops_stride2,1089,43,audit_validation,1-2
moving_ego_pps200000_crowded_8loops_stride2_001101_frame104396,104396,moving_ego_pps200000_crowded_8loops_stride2,1101,44,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_001104_frame104402,104402,moving_ego_pps200000_crowded_8loops_stride2,1104,44,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_001110_frame104414,104414,moving_ego_pps200000_crowded_8loops_stride2,1110,44,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_001132_frame104458,104458,moving_ego_pps200000_crowded_8loops_stride2,1132,45,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_001137_frame104468,104468,moving_ego_pps200000_crowded_8loops_stride2,1137,45,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_001138_frame104470,104470,moving_ego_pps200000_crowded_8loops_stride2,1138,45,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_001144_frame104482,104482,moving_ego_pps200000_crowded_8loops_stride2,1144,45,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_001149_frame104492,104492,moving_ego_pps200000_crowded_8loops_stride2,1149,45,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_001156_frame104506,104506,moving_ego_pps200000_crowded_8loops_stride2,1156,46,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_001168_frame104530,104530,moving_ego_pps200000_crowded_8loops_stride2,1168,46,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_001184_frame104562,104562,moving_ego_pps200000_crowded_8loops_stride2,1184,47,audit_validation,1-2
moving_ego_pps200000_crowded_8loops_stride2_001197_frame104588,104588,moving_ego_pps200000_crowded_8loops_stride2,1197,47,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_001211_frame104616,104616,moving_ego_pps200000_crowded_8loops_stride2,1211,48,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_001214_frame104622,104622,moving_ego_pps200000_crowded_8loops_stride2,1214,48,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_001216_frame104626,104626,moving_ego_pps200000_crowded_8loops_stride2,1216,48,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_001220_frame104634,104634,moving_ego_pps200000_crowded_8loops_stride2,1220,48,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_001221_frame104636,104636,moving_ego_pps200000_crowded_8loops_stride2,1221,48,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_001230_frame104654,104654,moving_ego_pps200000_crowded_8loops_stride2,1230,49,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_001234_frame104662,104662,moving_ego_pps200000_crowded_8loops_stride2,1234,49,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_001239_frame104672,104672,moving_ego_pps200000_crowded_8loops_stride2,1239,49,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_001242_frame104678,104678,moving_ego_pps200000_crowded_8loops_stride2,1242,49,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_001255_frame104704,104704,moving_ego_pps200000_crowded_8loops_stride2,1255,50,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_001264_frame104722,104722,moving_ego_pps200000_crowded_8loops_stride2,1264,50,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_001265_frame104724,104724,moving_ego_pps200000_crowded_8loops_stride2,1265,50,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_001271_frame104736,104736,moving_ego_pps200000_crowded_8loops_stride2,1271,50,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_001282_frame104758,104758,moving_ego_pps200000_crowded_8loops_stride2,1282,51,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_001287_frame104768,104768,moving_ego_pps200000_crowded_8loops_stride2,1287,51,audit_validation,5+
moving_ego_pps200000_crowded_8loops_stride2_001297_frame104788,104788,moving_ego_pps200000_crowded_8loops_stride2,1297,51,audit_validation,5+
moving_ego_pps200000_crowded_8loops_stride2_001299_frame104792,104792,moving_ego_pps200000_crowded_8loops_stride2,1299,51,audit_validation,5+
moving_ego_pps200000_crowded_8loops_stride2_001300_frame104794,104794,moving_ego_pps200000_crowded_8loops_stride2,1300,52,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_001309_frame104812,104812,moving_ego_pps200000_crowded_8loops_stride2,1309,52,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_001310_frame104814,104814,moving_ego_pps200000_crowded_8loops_stride2,1310,52,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_001323_frame104840,104840,moving_ego_pps200000_crowded_8loops_stride2,1323,52,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_001327_frame104848,104848,moving_ego_pps200000_crowded_8loops_stride2,1327,53,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_001339_frame104872,104872,moving_ego_pps200000_crowded_8loops_stride2,1339,53,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_001342_frame104878,104878,moving_ego_pps200000_crowded_8loops_stride2,1342,53,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_001349_frame104892,104892,moving_ego_pps200000_crowded_8loops_stride2,1349,53,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_001351_frame104896,104896,moving_ego_pps200000_crowded_8loops_stride2,1351,54,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_001352_frame104898,104898,moving_ego_pps200000_crowded_8loops_stride2,1352,54,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_001356_frame104906,104906,moving_ego_pps200000_crowded_8loops_stride2,1356,54,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_001359_frame104912,104912,moving_ego_pps200000_crowded_8loops_stride2,1359,54,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_001378_frame104950,104950,moving_ego_pps200000_crowded_8loops_stride2,1378,55,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_001383_frame104960,104960,moving_ego_pps200000_crowded_8loops_stride2,1383,55,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_001384_frame104962,104962,moving_ego_pps200000_crowded_8loops_stride2,1384,55,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_001385_frame104964,104964,moving_ego_pps200000_crowded_8loops_stride2,1385,55,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_001389_frame104972,104972,moving_ego_pps200000_crowded_8loops_stride2,1389,55,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_001393_frame104980,104980,moving_ego_pps200000_crowded_8loops_stride2,1393,55,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_001395_frame104984,104984,moving_ego_pps200000_crowded_8loops_stride2,1395,55,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_001406_frame105006,105006,moving_ego_pps200000_crowded_8loops_stride2,1406,56,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_001408_frame105010,105010,moving_ego_pps200000_crowded_8loops_stride2,1408,56,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_001411_frame105016,105016,moving_ego_pps200000_crowded_8loops_stride2,1411,56,audit_test,1-2
